Column1,Column2,Column3,Column4,Column5,Column6,Column7
2025-02-12 17:25:39,1000PEPEUSDTPerp,"2025-02-12 17:25:391000PEPEUSDTPerpOpen long0.009302418,030 1000PEPE0.00000000 USDT",Open long,0.0093024,"18,030 1000PEPE",0.00000000 USDT
2025-02-12 16:40:49,SUIUSDTPerp,2025-02-12 16:40:49SUIUSDTPerpOpen long3.11300073.1 SUI0.00000000 USDT,Open long,3.113000,73.1 SUI,0.00000000 USDT
2025-02-12 16:38:09,ONDOUSDTPerp,2025-02-12 16:38:09ONDOUSDTPerpOpen long1.2966000155.4 ONDO0.00000000 USDT,Open long,1.2966000,155.4 ONDO,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8850009 ICP0.00000000 USDT,Open long,6.885000,9 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830006 ICP0.00000000 USDT,Open long,6.883000,6 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830004 ICP0.00000000 USDT,Open long,6.883000,4 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830005 ICP0.00000000 USDT,Open long,6.883000,5 ICP,0.00000000 USDT
2025-02-12 16:37:16,XRPUSDTPerp,2025-02-12 16:37:16XRPUSDTPerpOpen long2.337773.6 XRP0.00000000 USDT,Open long,2.3377,73.6 XRP,0.00000000 USDT
2025-02-12 17:30:13,1000PEPEUSDTPerp,"2025-02-12 17:30:131000PEPEUSDTPerpOpen long0.009110823,473 1000PEPE0.00000000 USDT",Open long,0.0091108,"23,473 1000PEPE",0.00000000 USDT
2025-02-12 17:25:56,1000PEPEUSDTPerp,"2025-02-12 17:25:561000PEPEUSDTPerpOpen long0.009245220,410 1000PEPE0.00000000 USDT",Open long,0.0092452,"20,410 1000PEPE",0.00000000 USDT
2025-02-12 17:25:39,1000PEPEUSDTPerp,"2025-02-12 17:25:391000PEPEUSDTPerpOpen long0.009302418,030 1000PEPE0.00000000 USDT",Open long,0.0093024,"18,030 1000PEPE",0.00000000 USDT
2025-02-12 16:40:49,SUIUSDTPerp,2025-02-12 16:40:49SUIUSDTPerpOpen long3.11300073.1 SUI0.00000000 USDT,Open long,3.113000,73.1 SUI,0.00000000 USDT
2025-02-12 16:38:09,ONDOUSDTPerp,2025-02-12 16:38:09ONDOUSDTPerpOpen long1.2966000155.4 ONDO0.00000000 USDT,Open long,1.2966000,155.4 ONDO,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8850009 ICP0.00000000 USDT,Open long,6.885000,9 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830006 ICP0.00000000 USDT,Open long,6.883000,6 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830004 ICP0.00000000 USDT,Open long,6.883000,4 ICP,0.00000000 USDT
2025-02-12 16:38:08,ICPUSDTPerp,2025-02-12 16:38:08ICPUSDTPerpOpen long6.8830005 ICP0.00000000 USDT,Open long,6.883000,5 ICP,0.00000000 USDT
2025-02-12 16:37:16,XRPUSDTPerp,2025-02-12 16:37:16XRPUSDTPerpOpen long2.337773.6 XRP0.00000000 USDT,Open long,2.3377,73.6 XRP,0.00000000 USDT
2025-02-12 01:12:07,1000PEPEUSDTPerp,"2025-02-12 01:12:071000PEPEUSDTPerpClose long0.009673763,650 1000PEPE-6.82332433 USDT",Close long,0.0096737,"63,650 1000PEPE",-6.82332433 USDT
2025-02-12 01:12:07,1000PEPEUSDTPerp,"2025-02-12 01:12:071000PEPEUSDTPerpClose long0.009673724,372 1000PEPE-2.61269537 USDT",Close long,0.0096737,"24,372 1000PEPE",-2.61269537 USDT
2025-02-12 00:46:09,HBARUSDTPerp,"2025-02-12 00:46:09HBARUSDTPerpClose long0.231341,575 HBAR+6.96021000 USDT",Close long,0.23134,"1,575 HBAR",+6.96021000 USDT
2025-02-12 00:46:08,SUIUSDTPerp,2025-02-12 00:46:08SUIUSDTPerpClose long3.352300178.9 SUI+6.82752000 USDT,Close long,3.352300,178.9 SUI,+6.82752000 USDT
2025-02-12 00:35:32,FETUSDTPerp,2025-02-12 00:35:32FETUSDTPerpClose long0.76650003 FET+0.02511260 USDT,Close long,0.7665000,3 FET,+0.02511260 USDT
2025-02-12 00:35:32,FETUSDTPerp,2025-02-12 00:35:32FETUSDTPerpClose long0.7665000481 FET+4.02638739 USDT,Close long,0.7665000,481 FET,+4.02638739 USDT
2025-02-12 00:18:17,ONDOUSDTPerp,2025-02-12 00:18:17ONDOUSDTPerpClose long1.3561000279.0 ONDO+4.99218000 USDT,Close long,1.3561000,279.0 ONDO,+4.99218000 USDT
2025-02-11 22:30:46,HBARUSDTPerp,2025-02-11 22:30:46HBARUSDTPerpOpen long0.22640836 HBAR0.00000000 USDT,Open long,0.22640,836 HBAR,0.00000000 USDT
2025-02-11 22:25:47,SUIUSDTPerp,2025-02-11 22:25:47SUIUSDTPerpOpen long3.27840067.8 SUI0.00000000 USDT,Open long,3.278400,67.8 SUI,0.00000000 USDT
2025-02-11 22:25:30,HBARUSDTPerp,2025-02-11 22:25:30HBARUSDTPerpOpen long0.22751739 HBAR0.00000000 USDT,Open long,0.22751,739 HBAR,0.00000000 USDT
2025-02-11 22:25:23,FETUSDTPerp,2025-02-11 22:25:23FETUSDTPerpOpen long0.7563000257 FET0.00000000 USDT,Open long,0.7563000,257 FET,0.00000000 USDT
2025-02-11 22:10:21,SUIUSDTPerp,2025-02-11 22:10:21SUIUSDTPerpOpen long3.32680059.0 SUI0.00000000 USDT,Open long,3.326800,59.0 SUI,0.00000000 USDT
